robot_max_speed,robot_radius,success_rate,collision_rate,average_collision_amount,timeout_rate,timeout_collision_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,dyn_obstacle_occupation,crowdnav,dwa,rlca,teb
1.1,0.625,0.33,0.67,6.67,0.0,0.27,101.88,1854883335187.17,50,90,1,30,3,0,0,0,0,180.0,0.0171,2250,2.3219,3,0.5447,1.0,0.0137,0.0,0.42,0.57,6,3,0,0,1,0
1.1,0.625,0.37,0.63,4.9,0.0,0.17,115.48,1961653335291.87,90,70,1,70,4,0,0,0,0,240.0,0.033,3150,2.3219,6,0.2784,0.5,0.0089,0.0,0.82,0.69,3,2,0,0,1,0
0.22,0.113,1.0,0.0,0.0,0.0,0.0,119.89,2051773335383.07,70,70,0,0,0,1,0,4,0,180.0,0.0295,2450,2.3219,2,0.0563,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0
0.22,0.113,0.03,0.83,1.7,0.13,0.7,91.09,5664240005663.4,90,90,1,70,4,0,0,0,0,240.0,0.0366,4050,2.3219,11,0.3807,0.5,0.0113,0.0,0.45,0.69,4,3,1,0,0,0
2,0.267,0.33,0.53,1.43,0.13,0.3,176.62,3495896670161.63,70,70,1,70,3,0,0,0,0,227.3684,0.0261,2450,2.3219,17,0.3486,0.6,0.0092,0.0,0.31,0.54,3,2,0,0,1,0
0.22,0.113,0.73,0.27,0.37,0.0,0.0,99.52,795466667460.33,50,50,1,30,5,0,0,0,0,360.0,0.0131,1250,2.3219,1,0.3516,0.0,0.0,1.0,0.43,0.49,4,2,0,1,0,0
1.1,0.625,0.53,0.47,1.5,0.0,0.0,108.85,1331746667996.13,70,70,1,30,5,0,0,0,0,90.0,0.0206,2450,2.3219,4,0.4553,1.0,0.0049,0.0,0.69,0.58,9,5,0,1,0,0
1.1,0.625,0.8,0.13,0.23,0.07,0.0,126.07,1391853334723.87,70,70,1,70,5,0,0,0,0,180.0,0.0248,2450,2.3219,4,0.2953,1.0,0.0056,0.0,0.0,0.0,0,0,0,1,0,0
2,0.267,0.63,0.27,0.4,0.1,0.03,172.89,1965173335297.07,90,90,1,30,3,0,0,0,0,180.0,0.0221,4050,2.3219,2,0.6669,1.0,0.0001,0.0,0.0,0.0,0,0,0,1,0,0
2,0.267,0.79,0.21,0.31,0.0,0.0,73.73,522962069487.21,50,50,1,15,4,0,0,0,0,180.0,0.0092,1250,2.3219,2,0.6148,1.0,0.0002,0.0,0.41,0.44,2,1,0,1,0,0
